South Africa,1,,X,1,Good,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2
South Korea,,,X,1,Good,Tier 1,Member,Member,Member,,Member,,Member,,,,Member,6,,,Member,,,,1
South Sudan,1,,,0,,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,,,,,,,0
Spain,,,X,1,Excellent,Tier 1,Member,Member,Member,,Member,,Member,Member,Member,,Member,8,,,Member,,,,1
Sri Lanka,,X,X,2,Fair,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1
Sudan,,X,X,2,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Observer,,,,2
Suriname,2,,X,1,Unsuitable,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,,1
Swaziland,1,X,X,2,Poor,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
Sweden,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,,,,Member,,Member,6,,,Member,,,,1
Switzerland,,X,X,2,Excellent,Tier 2,Member,Member,Member,,Member,Member,Member,,,,Member,7,,,Member,,,,1
Syria,,X,X,2,Fair,Tier 3,Member,Member,Member,,Member,,,,,,,4,,,Observer,,,,1
Taiwan,,,,0,Excellent,Tier 1,,,Member,,Member,,,,,,,2,,,Member,,,,1
Tajikistan,2,,X,1,Unsuitable,Tier 2,Member,Member,Member,,Member,Member,,,,,,5,,,Member,,,,1
Thailand,2,,X,1,Good,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,Member,5,,,Member,Member,,,2
The Bahamas,2,,X,1,Good,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Observer,,Member,,2
Timor-Leste,,,X,1,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,,,,,0
Togo,,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2
Tonga,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1
Trinidad and Tobago,2,X,X,2,Fair,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2
Tunisia,,X,X,2,Fair,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,Member,6,,,Member,,,,1
Turkey,,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,Member,Member,Member,,,Member,8,,,Member,,,,1
Turkmenistan,2,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,Member,,,,,Member,6,,,,,,,0
