Country,PEPFAR_2014,NNPTSigned_2014,NNPTDeposited_2014,NNPTSignedAndDeposited_2014,MaternalHealthAccessToCare_2014,TIPS_2013,ICAOMember_2014,UNESCOMember_2014,FAOMember_2014,OASMember_2014,UNGAMember_2014,OSCEMember_2014,OECDMember_2014,NATOMember_2014,EUMember_2014,AUMember_2014,UNHCRMember_2014,MLOIndex_2014,APECMember_2014,NAFTAMember_2014,WTOMember_2014,ASEANMember_2014,CBERAMember_2014,CAFTAMember_2014,TPIndex_2014,USAID-GlobalHealth_2014,USAID-DHRA_2014,USAID-WatSan_2014,USAID-CrisisConflict_2014,USAID-GenderWomen_2014,USAID-EnvClimate_2014,USAID-ScienceTech_2014,NIV_1997,NIV_1998,NIV_1999,NIV_2000,NIV_2001,NIV_2002,NIV_2003,NIV_2004,NIV_2005,NIV_2006,NIV_2007,NIV_2008,NIV_2009,NIV_2010,NIV_2011,NIV_2012,NIV_2013,ChildMort_2012,MalariaElim_2012,TBIncidence-100k_2012,TBDrugResistance-2012
Equatorial Guinea,,,X,1,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,Member,,5,Member,,Observer,,,,2,,,,,,,,164,160,234,316,362,428,415,506,598,643,683,687,800,763,1027,1203,1470,100.3,4,139,0
Eritrea,,,X,1,Poor,Tier 3,Member,Member,Member,,Member,,,,,Member,,5,Member,,,,,,1,,,,,,,,1343,1227,1963,1694,1704,1693,1557,1721,1546,1291,869,739,773,723,762,942,1602,51.8,4,93,0
Estonia,,,X,1,Good,Tier 2,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1,,,,,,,,5214,5206,6278,6444,6150,5653,5356,5188,6183,6302,7540,7954,2452,1505,1522,1623,1614,3.6,0,23,1
Ethiopia,1,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Observer,,,,2,1,1,1,,1,1,,5297,5912,6702,7185,7132,5859,7051,6077,5731,7768,9346,9951,9382,9114,10950,12674,13856,68.3,4,247,1
Federated States of Micronesia,,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,,,,,0,,,,,,,,6,14,8,16,10,11,10,20,12,2,12,12,2,3,13,19,21,38.5,0,194,0
Fiji,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,4667,4645,5735,4946,4340,2892,3598,4255,4270,4167,4168,4471,3352,3468,3002,2974,3666,22.4,4,24,0
Finland,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,,Member,,Member,8,,,Member,,,,1,,,,,,,,5585,5977,6141,5776,5648,5226,4347,4504,5073,4961,5442,5263,4491,4641,4699,5072,5249,2.9,0,5.5,1
France,,,X,1,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1,,,,,,,,37730,39931,41872,45188,47323,38105,37463,36829,38616,91454,44042,45891,43271,44601,45779,44456,45532,4.1,0,8.2,1
Gabon,,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,1161,1155,1282,1323,1308,1128,838,888,1062,1125,1086,1196,1160,1242,1392,1321,1490,62,4,428,0
Gambia,,X,X,2,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,1586,1646,2012,2835,2934,4119,3442,2188,2042,1341,1519,1544,2269,2636,1972,1274,1259,72.9,4,284,0
Georgia,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,Member,,,,,,5,,,Member,,,,1,1,1,,,1,1,,3615,5815,7587,4149,4062,4288,4991,5130,4581,6185,5219,5709,5530,5858,6028,6004,6093,19.9,0,116,1
Germany,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1,,,,,,,,72868,72488,74756,74915,72567,62632,59338,60150,64601,63201,65809,65890,59900,59963,63663,63241,63451,4.1,0,5.6,1
Ghana,1,X,X,2,Poor,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,1,1,1,,,,,11593,13291,18690,18482,19995,19061,18386,20951,13552,11392,13076,18722,15618,13734,13138,15651,14130,72,4,72,0
Greece,,X,X,2,Good,Tier 2,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1,,,,,,,,45609,41622,42281,43567,40183,28851,30413,32755,36508,33423,36891,41238,36533,19251,6233,7034,7382,4.8,0,4.5,1
Grenada,2,,X,1,Fair,,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,Member,3,,,,,,,,3000,4512,5918,4506,2954,1905,3566,3831,3831,2889,2451,3097,3570,2626,2288,1877,2232,13.5,0,4.1,0
Guatemala,2,X,X,2,Poor,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,,1,,,,,,,,46396,55387,64388,64733,71352,41899,34283,29271,29271,35320,32553,44643,47755,52378,57401,59134,51513,32,4,60,0
Guinea,,,X,1,Unsuitable,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,,,,,,,,3834,5992,3456,3885,5058,4362,3871,3751,2661,2923,2349,2255,1582,1128,1531,1592,1814,101.2,4,178,0
Guinea Bissau,,,X,1,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,Suspended,,4.5,Member,,Member,,,,2,,,,,,,,251,185,153,266,260,157,138,162,141,149,154,149,134,134,132,139,157,129.10001,4,242,0
Guyana,1,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2,,,,,,,,9201,8392,7194,5891,12508,12821,8335,5761,5761,4840,4339,4786,6561,5610,7495,14306,15981,35.2,4,109,0
Haiti,1,X,X,2,Unsuitable,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2,1,1,,1,,,,16355,20551,26565,27609,25623,22297,20114,23268,23268,20332,32591,35463,25983,23970,24550,29213,36518,75.6,4,213,0
Honduras,2,X,X,2,Poor,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,Member,2,,1,,,,,,24875,32672,31209,36776,35202,30434,22999,22808,22808,29815,30933,30213,27853,30753,33259,38415,41227,22.9,4,54,0
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5194,35766,24374,25857,30764,22676,20183,30365,43108,47454,50815,49802,32562,37865,43714,46600,47941,,,77,
